source,target,osmid,highway,ref,oneway,reversed,length_m,name,maxspeed,lanes
600000029,600000877,2000000,residential,,False,False,226.4104,,,
600000877,600000029,2000000,residential,,False,True,226.4104,,,
600000029,600000157,2000001,secondary,,False,False,426.0111,,30,
600000157,600000029,2000001,secondary,,False,True,426.0111,,30,
600000029,600002077,2000002,primary,,True,False,643.2216,Boulevard du 20 Mars,50,2
600000029,600003237,2000003,residential,,False,False,695.5771,,,
600003237,600000029,2000003,residential,,False,True,695.5771,,,
600000157,600000877,2000004,residential,,False,False,215.1132,,,
600000877,600000157,2000004,residential,,False,True,215.1132,,,
600000157,600002077,2000005,residential,,False,False,280.4555,,,
600002077,600000157,2000005,residential,,False,True,280.4555,,,
600000157,600003237,2000006,residential,,False,False,283.5741,,,
600003237,600000157,2000006,residential,,False,True,283.5741,,,
600000245,600001573,2000007,residential,,False,False,149.0073,,,
600001573,600000245,2000007,residential,,False,True,149.0073,,,
600000245,600003381,2000008,unclassified,,False,False,180.8372,,,
600003381,600000245,2000008,unclassified,,False,True,180.8372,,,
600000245,600002917,2000009,residential,,False,False,204.7358,,,
600002917,600000245,2000009,residential,,False,True,204.7358,,,
600000245,600003917,2000010,residential,,False,False,252.5404,,,
600003917,600000245,2000010,residential,,False,True,252.5404,,,
600000245,600001637,2000011,residential,,False,False,297.4309,,,
600001637,600000245,2000011,residential,,False,True,297.4309,,,
600000461,600003557,2000012,tertiary,,False,False,49.612,,,
600003557,600000461,2000012,tertiary,,False,True,49.612,,,
600000461,600002485,2000013,residential,,False,False,55.8081,,,
600002485,600000461,2000013,residential,,False,True,55.8081,,,
600000461,600001005,2000014,residential,,False,False,131.713,,,
600001005,600000461,2000014,residential,,False,True,131.713,,,
600000461,600004173,2000015,residential,,False,False,180.4217,,,
600004173,600000461,2000015,residential,,False,True,180.4217,,,
600000461,600003069,2000016,residential,,False,False,190.2635,,,
600003069,600000461,2000016,residential,,False,True,190.2635,,,
600000933,600001917,2000017,residential,,False,False,45.7204,,,
600001917,600000933,2000017,residential,,False,True,45.7204,,,
600000933,600001637,2000018,residential,,False,False,74.8279,,,
600001637,600000933,2000018,residential,,False,True,74.8279,,,
600001005,600003069,2000019,residential,,False,False,77.8408,,,
600003069,600001005,2000019,residential,,False,True,77.8408,,,
600001005,600002485,2000020,residential,,False,False,100.2931,,,
600002485,600001005,2000020,residential,,False,True,100.2931,,,
600001133,600003917,2000021,residential,,False,False,106.9737,,,
600003917,600001133,2000021,residential,,False,True,106.9737,,,
600001133,600001469,2000022,residential,,False,False,209.4804,,,
600001469,600001133,2000022,residential,,False,True,209.4804,,,
600001133,600004189,2000023,residential,,False,False,225.9321,,,
600004189,600001133,2000023,residential,,False,True,225.9321,,,
600001269,600003381,2000024,trunk,RR8,False,False,119.4829,,50,2
600003381,600001269,2000024,trunk,RR8,False,True,119.4829,,50,2
600001269,600002853,2000025,residential,,False,False,153.1427,,,
600002853,600001269,2000025,residential,,False,True,153.1427,,,
600001269,600001573,2000026,residential,,False,False,185.1498,,,
600001573,600001269,2000026,residential,,False,True,185.1498,,,
600001269,600000245,2000027,secondary,,False,False,300.3194,,30,
600000245,600001269,2000027,secondary,,False,True,300.3194,,30,
600001269,600002917,2000028,tertiary,,False,False,327.0228,,,
600002917,600001269,2000028,tertiary,,False,True,327.0228,,,
600001469,600003917,2000029,residential,,False,False,276.3151,,,
600003917,600001469,2000029,residential,,False,True,276.3151,,,
600001469,600001637,2000030,residential,,False,False,333.7222,,,
600001637,600001469,2000030,residential,,False,True,333.7222,,,
600001469,600001917,2000031,residential,,False,False,332.4983,,,
600001917,600001469,2000031,residential,,False,True,332.4983,,,
600001469,600004189,2000032,unclassified,,False,False,359.3935,,,
600004189,600001469,2000032,unclassified,,False,True,359.3935,,,
600001485,600000933,2000033,residential,,False,False,357.4882,,,
600000933,600001485,2000033,residential,,False,True,357.4882,,,
600001485,600001917,2000034,residential,,False,False,374.12,,,
600001917,600001485,2000034,residential,,False,True,374.12,,,
600001485,600001637,2000035,residential,,False,False,427.063,,,
600001637,600001485,2000035,residential,,False,True,427.063,,,
600001485,600002917,2000036,residential,,False,False,446.4457,,,
600002917,600001485,2000036,residential,,False,True,446.4457,,,
600001485,600002853,2000037,residential,,False,False,476.8588,,,
600002853,600001485,2000037,residential,,False,True,476.8588,,,
600001573,600003381,2000038,residential,,False,False,69.0077,,,
